_id,book_title,book_author,book_description,image_urls,book_url,image_file_path
67422f018868e4abd747958a,The phantom of the opera,Gaston Leroux,"Christine is brought up by her itinerant musician father, whose death she mourns endlessly. She achieves a singing position in the Paris Opera line, where a mysterious voice teaches her to unleash her musical potential. The voice belongs to Erik, a deformed musical genius who lives in the opera house. As Christine's singing career takes off, her childhood friend Raoul begins to court her, and he and Erik fight jealously for Christine's hand.
",['https://covers.openlibrary.org/b/id/6550654-M.jpg'],https://openlibrary.org/works/OL1833989W/Le_fant%C3%B4me_de_l%27op%C3%A9ra?edition=ia%3Aphantomofopera00lero,photos/The phantom of the opera__95201b930b335e8255599661dbd12507eab36800.jpg
67422f038868e4abd747958b,Diary of a Wimpy Kid,Jeff Kinney,"Good
",['https:/images/icons/avatar_book.png'],https://openlibrary.org/works/OL34490931W/No_Brainer,photos/Diary of a Wimpy Kid__7e8f95bf7bec946e0f8e9456442fb8918556ce84.jpg
67422f058868e4abd747958c,Dasar Manajemen Sumber Daya Manusia,Eny Lestari Widarni,,['https:/images/icons/avatar_book.png'],https://openlibrary.org/works/OL29167086W/Dasar_Manajemen_Sumber_Daya_Manusia,photos/Dasar Manajemen Sumber Daya Manusia__7e8f95bf7bec946e0f8e9456442fb8918556ce84.jpg
67422f068868e4abd747958d,"Sonne, Mord und Sterne",James Patterson,"In the middle of the night, a controversial U.S. senator is found murdered in bed in his Georgetown pied-a-terre. The police turn up only one clue: a mysterious rhyme signed ""Jack and Jill"" promising that this is just the beginning. Jack and Jill are out to get the rich and famous, and they will stop at nothing until their fiendish plan is carried out.Meanwhile, Washington, D. C., homicide detective Alex Cross is called to a murder scene only blocks from his house, far from the corridors of power where he spends his days. The victim: a beautiful little girl, savagely beaten--and desposited in front of the elementary school Cross's son, Damon, attends.Could there be a connection between the two murders? As Cross tries to put the pieces together, the killer- or killers - strike again. And again. No one in Washington is safe - not children, not politicians, not even the President of the United States. Only Alex Cross has the skills and the courage to crack the case-but will he discover the truth in time?A relentless roller coaster of heart-pounding suspense and jolting plot twists, Jack and Jill proves that no one can write a more compelling thriller than James Patterson-the master of the nonstop nightmare.
",['https://covers.openlibrary.org/b/id/11002014-M.jpg'],https://openlibrary.org/works/OL167185W/Jack_Jill?edition=ia%3Asonnemordundster0000patt,"photos/Sonne, Mord und Sterne__2188f75ef75fc66e984e6f32766c8e0f0ed5af2e.jpg"
67422f088868e4abd747958e,Como a gua para chocolate,Laura Esquivel,"Like Water for Chocolate (Spanish: Como agua para chocolate) is a novel by Mexican novelist and screenwriter Laura Esquivel.
",['https://covers.openlibrary.org/b/id/8372639-M.jpg'],https://openlibrary.org/works/OL953162W/Como_agua_para_chocolate?edition=ia%3Aisbn_8501154423,photos/Como a gua para chocolate__99a8d27e0d4a9d18c5a978bccac9c52e1be64cfe.jpg
67422f098868e4abd747958f,"Padre Rico, Padre Pobre",Robert T. Kiyosaki,"Educacion financiera
",['https://covers.openlibrary.org/b/id/14655734-M.jpg'],https://openlibrary.org/works/OL2010885W/Padre_Rico_Padre_Pobre?edition=ia%3Apadrericopadrepo00kiyo_537,"photos/Padre Rico, Padre Pobre__7e8be3cee2b0190df39f6d558a142245a4e29bca.jpg"
67422f098868e4abd7479590,October Junction,Divya Prakash Dubey,,['https://covers.openlibrary.org/b/id/11054950-M.jpg'],https://openlibrary.org/works/OL24454849W/October_Junction,photos/October Junction__c8e9a8a1baee4fe00bad3e749258e20fbc65b207.jpg
67422f0b8868e4abd7479591,Psycho Cybernetics,Maxwell Maltz,"Cybernetics (loosely translated from the Greek): “a helmsman who steers his ship to port.” Psycho-Cybernetics is a term coined by Dr. Maxwell Maltz, which means, “steering your mind to a productive, useful goal so you can reach the greatest port in the world, peace of mind.”
",['https://covers.openlibrary.org/b/id/14510015-M.jpg'],https://openlibrary.org/works/OL99079W/Psycho-cybernetics?edition=ia%3Apsychocybernetic0000maxw_q4f8,photos/Psycho Cybernetics__5a78a622b6b54d25b9f55b69d770bdc9aac87977.jpg
67422f0d8868e4abd7479592,Manifest,Roxie Nafousi,,['https://covers.openlibrary.org/b/id/13162460-M.jpg'],https://openlibrary.org/works/OL25813658W/Manifest,photos/Manifest__6c863b51ce493a4e02f8f7150721a40b9823a985.jpg
67422f0d8868e4abd7479593,The cruel prince,Holly Black,"Jude was seven years old when her parents were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans. Especially Prince Cardan, the youngest and wickedest son of the High King. To win a place at the Court, she must defy him, and face the consequences.
",['https://covers.openlibrary.org/b/id/13275414-M.jpg'],https://openlibrary.org/works/OL17850410W/The_Cruel_Prince,photos/The cruel prince__fa4450a361678ec4bc3c24e47a394bb5bd54bc67.jpg
67422f0e8868e4abd7479594,Quién eres tú y qué haces aquí-El Libro de iO,Jesús Yanes,,['https://covers.openlibrary.org/b/id/14809463-M.jpg'],https://openlibrary.org/works/OL34735956W/Qui%C3%A9n_eres_t%C3%BA_y_qu%C3%A9_haces_aqu%C3%AD-El_Libro_de_iO,photos/Quién eres tú y qué haces aquí-El Libro de iO__04070637bac90f62f56143e0a7184cca59fae0d0.jpg
67422f0f8868e4abd7479595,Digital Marketing,Dave Chaffey,,['https://covers.openlibrary.org/b/id/9424149-M.jpg'],https://openlibrary.org/works/OL20732757W/Digital_Marketing,photos/Digital Marketing__085016ee391f1e2bca71f0a2ed21e63bf013311d.jpg
